name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
Sunrise,The Greatest Hits,Simply Red,2008,199040,58,0.791,0.00189,0.791,0.733,0.201,0.0859,-5.123,0.029,105.987,4
Damn! (feat. Lil' Jon) - Club Mix,Drankin' Patnaz,Youngbloodz,2003-07-25,298600,52,0.772,0.0149,0.772,0.724,0,0.355,-5.799,0.307,84.038,4
Drift Away,No Stranger to Shame,Uncle Kracker,2002-07-09,255560,68,0.583,0.181,0.583,0.66,0,0.0979,-5.078,0.0377,151.956,4
Say Yes,Floetic,Floetry,2002-01-01,268373,58,0.747,0.211,0.747,0.398,1.42E-06,0.113,-12.932,0.0743,117.901,1
Why Don't You & I (feat. Chad Kroeger),Shaman,Santana,2002-09-30,274360,51,0.495,0.136,0.495,0.894,0,0.106,-4.89,0.102,168.062,4
I Believe in a Thing Called Love,Permission to Land,The Darkness,2003-07-07,217653,67,0.442,0.0538,0.442,0.846,4.71E-06,0.282,-5.214,0.0764,128.235,4
I Can,God's Son,Nas,2002-12-13,253720,56,0.837,0.103,0.837,0.885,0,0.0666,-3.914,0.182,95.313,4
I Miss You,blink-182,blink-182,2003-11-01,227250,72,0.423,0.00113,0.423,0.714,6.28E-06,0.0855,-8.295,0.045,110.017,4
Yeah! (feat. Lil Jon & Ludacris),Confessions (Expanded Edition),Usher,2004-03-23,250373,80,0.894,0.0183,0.894,0.791,0,0.0388,-4.699,0.112,105.018,4
This Love,Songs About Jane: 10th Anniversary Edition,Maroon 5,2002,206200,77,0.712,0.0525,0.712,0.862,0,0.093,-4.612,0.0378,95.051,4
Let Me Love You,Let Me Love You,Mario,2004-09-21,256733,74,0.656,0.235,0.656,0.578,0,0.118,-8.97,0.0922,94.514,4
Hey Ya!,Speakerboxxx/The Love Below,Outkast,2003,235213,77,0.727,0.103,0.727,0.974,0.000532,0.174,-2.261,0.0664,79.526,4
The Reason,The Reason (15th Anniversary Deluxe),Hoobastank,2003-12-09,232800,78,0.472,0.0129,0.472,0.671,0,0.159,-4.649,0.029,82.952,4
Toxic,In The Zone,Britney Spears,2003-11-13,198800,80,0.774,0.0249,0.774,0.838,0.025,0.242,-3.914,0.114,143.04,4
If I Ain't Got You,The Diary Of Alicia Keys,Alicia Keys,2003-12-02,228706,78,0.609,0.603,0.609,0.445,6.77E-06,0.104,-9.129,0.106,118.393,3
Leave (Get Out) - Radio Edit,Leave (Get Out),JoJo,2005-09-30,242746,56,0.656,0.156,0.656,0.513,6.45E-05,0.0763,-8.691,0.253,86.891,4
Turn Me On,Kevin Lyttle (US Domestic Release),Kevin Lyttle,2004-03-30,192106,63,0.677,0.0405,0.677,0.682,0,0.0351,-6.879,0.0361,106.279,4
My Boo,Confessions (Expanded Edition),Usher,2004-03-23,223440,78,0.662,0.257,0.662,0.507,0,0.0465,-8.238,0.118,86.412,4
Lose My Breath,Destiny Fulfilled,Destiny's Child,2004,242013,59,0.814,0.00727,0.814,0.899,0.219,0.0979,-5.958,0.0637,119.011,4
Naughty Girl,Dangerously In Love,Beyoncé,2003-03-10,208600,60,0.735,0.239,0.735,0.466,6.24E-06,0.102,-8.65,0.0857,99.973,4
Take Me To The Clouds Above - LMC Vs. U2 / Radio Edit,Take Me To The Clouds Above (LMC Vs. U2 / Remixes),LMC,2004-01-26,171546,59,0.668,0.00232,0.668,0.905,0.0331,0.141,-5.395,0.038,128.658,4
All Falls Down,The College Dropout,Kanye West,2004-02-10,223506,71,0.657,0.149,0.657,0.734,0,0.139,-4.832,0.484,91.03,4
Gasolina,Barrio Fino (Bonus Track Version),Daddy Yankee,2004-07-13,192600,75,0.857,0.332,0.857,0.801,1.20E-06,0.0789,-6.499,0.0618,96.009,4
Move Ya Body,Nina Sky,Nina Sky,2004-01-01,232000,65,0.87,0.0202,0.87,0.712,0.000331,0.0576,-6.313,0.0432,121.057,4
These Words,Unwritten,Natasha Bedingfield,2004-09-06,216360,62,0.734,0.0322,0.734,0.635,0,0.0808,-7.03,0.0816,96.99,4
Burn,Confessions (Expanded Edition),Usher,2004-03-23,231933,67,0.796,0.314,0.796,0.477,0,0.12,-7.161,0.108,119.928,4
My Place,Suit,Nelly,2004-09-14,336506,56,0.6,0.0498,0.6,0.641,1.49E-06,0.0982,-4.237,0.0423,163.153,4
Tipsy - Club Mix,Tipsy,J-Kwon,2001-01-01,246920,58,0.925,0.0659,0.925,0.741,0,0.044,-5.827,0.314,93.035,4
"Me, Myself and I",Dangerously In Love,Beyoncé,2003-06-24,301133,64,0.75,0.226,0.75,0.458,3.25E-05,0.137,-9.092,0.0803,83.61,4
With You,In This Skin (Deluxe Edition),Jessica Simpson,2003,191826,56,0.553,0.0923,0.553,0.756,0,0.215,-4.583,0.108,94.487,4
Confessions Part II,Confessions (Expanded Edition),Usher,2004-03-23,211200,66,0.845,0.0586,0.845,0.467,0,0.0694,-7.674,0.138,138.007,4
Dip It Low,Dip It Low,Christina Milian,2004-01-01,197186,50,0.752,0.0108,0.752,0.722,0.000536,0.0753,-4.207,0.104,169.131,4
Let's Get It Started - Spike Mix,Let's Get It Started,Black Eyed Peas,2004-01-01,217733,57,0.785,0.117,0.785,0.799,0,0.292,-2.208,0.126,104.923,4
Love Machine,What Will The Neighbours Say?,Girls Aloud,2004-01-01,205360,57,0.663,0.00127,0.663,0.95,0.00492,0.0753,-4.21,0.0621,116.02,4
Goodies (feat. Petey Pablo),Goodies,Ciara,2004-09-27,223000,65,0.826,0.0277,0.826,0.647,1.52E-06,0.298,-6.306,0.0491,102.017,4
Milkshake,Tasty,Kelis,2003-12-05,182626,65,0.881,0.00986,0.881,0.774,0.0346,0.206,-6.068,0.0439,112.968,4
Suga Suga,Tha Smokin' Nephew,Baby Bash,2003-01-01,239026,74,0.662,0.688,0.662,0.748,8.43E-06,0.0841,-3.041,0.268,82.331,4
Locked Up,Trouble,Akon,2004-01-01,235066,61,0.818,0.023,0.818,0.579,0,0.107,-4.475,0.101,89.987,4
Fuck It (I Don't Want You Back),I Don't Want You Back,Eamon,2004-01-23,225106,63,0.828,0.214,0.828,0.653,3.25E-06,0.0404,-6.245,0.0653,68.507,4
Mr. Brightside,Hot Fuss,The Killers,2004-06-07,222106,26,0.352,0.00113,0.352,0.928,0,0.0987,-3.71,0.0758,148.026,4
Eyes On You - Radio Mix,Me Against Myself,Jay Sean,2004-01-01,190493,42,0.802,0.0775,0.802,0.672,0,0.136,-4.971,0.0847,96.525,4
Lola's Theme,Lola's Theme,The Shapeshifters,2004-01-01,207066,65,0.748,0.00083,0.748,0.845,0.000225,0.068,-4.612,0.0536,123.925,4
Shut Up,Elephunk,Black Eyed Peas,2003-01-01,296186,60,0.81,0.0637,0.81,0.714,0,0.237,-3.966,0.243,112.968,4
She Will Be Loved,Songs About Jane,Maroon 5,2002-06-25,257133,71,0.706,0.0596,0.706,0.713,0,0.132,-5.512,0.0301,102.037,4
Five Colours In Her Hair - U.S Version,Just My Luck,McFly,2006-01-01,182586,35,0.267,0.00244,0.267,0.981,4.25E-06,0.348,-2.645,0.103,189.145,4
Sunshine (feat. Lea),U Gotta Feel Me,Lil' Flip,2004-03-30,225173,46,0.814,0.0248,0.814,0.387,0,0.131,-9.867,0.0945,93.961,4
The Way You Move (feat. Sleepy Brown),Speakerboxxx/The Love Below,Outkast,2003,234000,64,0.871,0.126,0.871,0.597,0.000113,0.0638,-4.932,0.0464,125.999,4
Only U - No Intro,Concrete Rose,Ashanti,2004-01-01,186306,55,0.601,0.0374,0.601,0.621,1.75E-06,0.188,-5.576,0.0434,94.547,4
Hotel (feat. R. Kelly),Split Personality,Cassidy,2004-03-16,247040,48,0.676,0.103,0.676,0.652,0,0.113,-6.846,0.204,91.231,4
Call on Me - Radio Mix,Call on Me (Radio Mix),Eric Prydz,2004-09-10,171360,73,0.597,0.00427,0.597,0.837,0.00114,0.839,-6.518,0.375,126.342,4
Cha Cha Slide - Hardino Mix,Cha Cha Slide,DJ Casper,2004-01-01,222146,55,0.853,0.0436,0.853,0.911,0.00571,0.287,-6.722,0.125,131.012,4
Through The Wire,The College Dropout,Kanye West,2004-02-10,221226,67,0.571,0.00865,0.571,0.739,5.21E-06,0.158,-6.11,0.247,83.089,4
I Don't Wanna Know (feat. Enya & P. Diddy) - 2016 Remaster,Bad Boy 20th Anniversary Box Set Edition,Various Artists,2016-08-12,257333,65,0.833,0.347,0.833,0.515,0.00156,0.116,-5,0.0462,97.035,4
Pieces Of Me,Autobiography,Ashlee Simpson,2004-01-01,217440,54,0.505,0.0572,0.505,0.799,0,0.11,-4.286,0.0773,174.001,4
Air Hostess,A Present For Everyone,Busted,2003-01-01,237760,49,0.409,0.0133,0.409,0.963,0,0.0894,-4.052,0.12,186.103,4
Come With Me - Radio Edit,Reckless,Special D.,2004-08-02,185133,61,0.739,0.13,0.739,0.999,0.00224,0.28,-5.077,0.0803,139.982,4
Drop It Like It's Hot,R&G (Rhythm & Gangsta): The Masterpiece,Snoop Dogg,2004-01-01,266066,68,0.892,0.169,0.892,0.628,0,0.102,-3.832,0.216,92.063,4
I Like That,It's Already Written,Houston,2004-01-01,236520,54,0.797,0.0154,0.797,0.502,0,0.1,-3.925,0.0968,106.997,4
Too Lost In You,Three,Sugababes,2003-01-01,237693,58,0.586,0.0485,0.586,0.705,0,0.15,-4.904,0.0287,98.014,4
Southside,Southside,Lloyd,2004-01-01,277840,60,0.688,0.377,0.688,0.404,0,0.0813,-9.481,0.0818,75.007,3
My Band,D-12 World,D12,2004-01-01,298773,69,0.851,0.497,0.851,0.849,2.05E-06,0.116,-3.383,0.0828,120.014,4
Millionaire,Tasty,Kelis,2003-12-05,224933,58,0.68,0.0217,0.68,0.847,0,0.0374,-6.636,0.108,176.051,4
One Call Away,Jackpot,Chingy,2003-01-01,276800,58,0.765,0.0918,0.765,0.821,0,0.217,-5.926,0.183,162.519,4
Hey Mama,Elephunk,Black Eyed Peas,2003-01-01,214893,54,0.86,0.104,0.86,0.866,1.42E-06,0.584,-6.345,0.232,100.15,4
Wonderful,R.U.L.E.,Ja Rule,2004-01-01,270506,59,0.663,0.277,0.663,0.777,0,0.0466,-4.954,0.109,92.68,4
My Happy Ending,Under My Skin,Avril Lavigne,2004,242413,68,0.414,0.00136,0.414,0.936,0,0.369,-2.407,0.0758,170.229,4
Not In Love - Radio Mix,Not In Love,Enrique Iglesias,2003-01-01,223133,36,0.762,0.0371,0.762,0.885,0,0.0519,-5.096,0.0395,117.021,4
Just Lose It,Encore (Deluxe Version),Eminem,2004-11-12,248680,64,0.94,0.0581,0.94,0.633,4.04E-05,0.281,-3.56,0.0467,121.003,4
Roses,Speakerboxxx/The Love Below,Outkast,2003,369573,70,0.751,0.0482,0.751,0.708,1.85E-05,0.107,-5.653,0.0545,108.97,4
Left Outside Alone,Anastacia,Anastacia,2004,257426,61,0.663,0.0697,0.663,0.746,0,0.0929,-3.567,0.0321,102.847,4
Slow Jamz,The College Dropout,Kanye West,2004-02-10,316053,64,0.559,0.314,0.559,0.733,0,0.284,-5.659,0.171,145.115,4
Trick Me,Tasty,Kelis,2003-12-05,206106,62,0.97,0.0369,0.97,0.72,0.000389,0.326,-3.347,0.149,107.17,4
Freek-A-Leek,Still Writing In My Diary: 2nd Entry,Petey Pablo,2003,235186,53,0.737,0.0756,0.737,0.697,0,0.359,-3.716,0.254,104.917,4
My Prerogative,Greatest Hits: My Prerogative,Britney Spears,2004-11-08,213893,55,0.749,0.0127,0.749,0.938,1.96E-06,0.103,-4.423,0.118,111.014,4
If There's Any Justice,Time To Grow,Lemar,2004-11-26,229080,46,0.706,0.0128,0.706,0.665,0,0.338,-5.348,0.0453,89.993,4
Dirt Off Your Shoulder,The Black Album,JAY-Z,2003-11-14,245173,56,0.779,0.0319,0.779,0.655,2.63E-06,0.339,-7.147,0.318,163.971,4
She Wants To Move,Fly Or Die,N.E.R.D,2004-01-01,213786,56,0.766,0.00402,0.766,0.851,0.000744,0.256,-4.831,0.0786,115.012,4
I'm Still in Love with You (feat. Sasha),Dutty Rock,Sean Paul,2002-11-12,273360,68,0.765,0.102,0.765,0.666,0,0.116,-5.384,0.172,87.002,4
Wanna Get To Know You,Beg For Mercy,G-Unit,2003-01-01,265026,60,0.513,0.106,0.513,0.826,0,0.0675,-3.651,0.132,76.91,1
Everytime,In The Zone,Britney Spears,2003-11-13,230306,63,0.398,0.966,0.398,0.284,8.57E-05,0.116,-12.852,0.0337,109.599,4
Sunshine (feat. Anthony Hamilton),Kamikaze,Twista,2004-01-27,226013,54,0.926,0.261,0.926,0.888,0,0.348,-5.337,0.294,98.523,4
Amazing,Patience,George Michael,2004-03-15,265826,56,0.805,0.0884,0.805,0.754,1.77E-06,0.117,-6.825,0.0394,128.429,4
I Don't Want to Be,Chariot - Stripped,Gavin DeGraw,2004-07-26,217760,57,0.423,0.00791,0.423,0.862,0,0.133,-5.13,0.0695,154.746,4
Leave Right Now,Fridays Child,Will Young,2003-12-01,214733,55,0.641,0.145,0.641,0.445,0,0.108,-8.674,0.0368,81.931,4
Bring Em Out,Urban Legend,T.I.,2004-11-28,216706,61,0.759,0.0298,0.759,0.891,0,0.141,-2.983,0.257,98.579,4
Lean Back,True Story,Terror Squad,2004-01-01,247426,63,0.783,0.11,0.783,0.916,0,0.0746,-3.344,0.415,95.321,4
What You Waiting For?,Love Angel Music Baby,Gwen Stefani,2004-11-22,221226,58,0.676,0.0509,0.676,0.948,8.19E-06,0.384,-2.557,0.0628,136.027,4
The First Cut Is The Deepest,The First Cut Is The Deepest,Sheryl Crow,2003-01-01,227293,49,0.499,0.0169,0.499,0.747,0,0.108,-4.54,0.0274,159.799,4
You Don't Know My Name,The Diary Of Alicia Keys,Alicia Keys,2003-12-02,366733,60,0.263,0.589,0.263,0.663,0.00451,0.342,-8.264,0.19,167.271,4
I Believe in You,I Believe in You,Kylie Minogue,2004-12-06,200973,45,0.548,0.00277,0.548,0.785,0.048,0.329,-5.087,0.0704,120.939,4
Good Luck,Kish Kash,Basement Jaxx,2003-10-20,282306,19,0.571,0.0649,0.571,0.968,3.07E-06,0.592,-3.092,0.162,154.07,4
Overnight Celebrity,Kamikaze,Twista,2004-01-27,233360,63,0.828,0.182,0.828,0.792,0,0.281,-5.435,0.179,134.199,4
Salt Shaker,Me & My Brother,Ying Yang Twins,2003-09-16,252440,60,0.884,0.0509,0.884,0.697,0,0.094,-6.022,0.128,101.965,4
Headsprung,THE DEFinition,LL Cool J,2004-08-31,267320,55,0.718,0.0114,0.718,0.786,2.50E-05,0.0745,-5.76,0.0284,99.916,4
Take Your Mama,Scissor Sisters,Scissor Sisters,2004-02-02,271866,54,0.762,0.222,0.762,0.957,1.92E-05,0.0484,-4.601,0.11,153.967,4
Dragostea Din Tei,DiscO-Zone,O-Zone,2004-06-06,215431,66,0.809,0.177,0.809,0.965,0,0.0577,-3.947,0.0427,130.103,4
Read Your Mind,Private Room,Avant,2003-01-01,263506,54,0.755,0.291,0.755,0.381,5.13E-06,0.0974,-6.696,0.0711,73.108,4
Daughters,Heavier Things,John Mayer,2003-09-09,237906,66,0.674,0.837,0.674,0.413,1.91E-05,0.098,-7.816,0.0274,124.895,3
Diary (feat. Tony! Toni! Tone! & Jermaine Paul),The Diary Of Alicia Keys,Alicia Keys,2003-12-02,284160,55,0.664,0.559,0.664,0.465,0.00174,0.125,-9.711,0.0317,127.932,4
Slow Motion,Juve The Great,JUVENILE,2003-01-01,248200,63,0.713,0.548,0.713,0.734,0,0.0687,-4.894,0.325,172.872,4
On Fire,The Hunger For More,Lloyd Banks,2004-01-01,187280,55,0.759,0.0923,0.759,0.825,0.00057,0.24,-4.289,0.22,94.857,4
Jesus Walks,The College Dropout,Kanye West,2004-02-10,193733,67,0.637,0.614,0.637,0.834,0,0.317,-4.686,0.323,87.312,4
Fit but You Know It,A Grand Don't Come for Free,The Streets,2002-03-18,253466,58,0.702,0.22,0.702,0.848,0,0.0222,-1.714,0.3,172.125,4
It's My Life,It's My Life,No Doubt,2003-01-01,226053,60,0.612,0.00202,0.612,0.735,0.00118,0.328,-5.074,0.0282,126.326,4
Like Toy Soldiers,Encore,Eminem,2004-11-12,296880,48,0.52,0.0193,0.52,0.768,0.00034,0.104,-3.489,0.359,79.178,4
Sick and Tired,Pieces of A Dream,Anastacia,1999,212266,52,0.598,0.00908,0.598,0.868,0,0.279,-4.552,0.0373,99.848,4
How Come,D-12 World,D12,2004-01-01,249533,57,0.745,0.28,0.745,0.858,0,0.188,-2.221,0.237,89.983,4
Don't Tell Me,Under My Skin,Avril Lavigne,2004,202013,58,0.523,0.00462,0.523,0.795,0,0.358,-2.92,0.0386,144.106,4
We Belong Together,The Emancipation of Mimi,Mariah Carey,2005,201400,69,0.84,0.0264,0.84,0.476,0,0.0865,-7.918,0.0629,139.987,4
Let Me Love You,Let Me Love You,Mario,2004-09-21,256733,74,0.656,0.235,0.656,0.578,0,0.118,-8.97,0.0922,94.514,4
Gold Digger,Late Registration,Kanye West,2005-08-30,207626,76,0.629,0.0195,0.629,0.696,0,0.0554,-5.572,0.348,93.034,4
Beautiful Soul,Beautiful Soul,Jesse McCartney,2004,215160,57,0.654,0.0765,0.654,0.663,0,0.0266,-4.34,0.046,89.989,4
Candy Shop,The Massacre,50 Cent,2005-03-03,209106,78,0.614,0.0253,0.614,0.574,3.20E-05,0.38,-7.961,0.466,125.173,5
You're Beautiful,Back to Bedlam,James Blunt,2005-08-08,209493,75,0.675,0.633,0.675,0.479,1.76E-05,0.088,-9.87,0.0278,81.998,4
Boulevard of Broken Dreams,Boulevard of Broken Dreams,Green Day,2004,261266,71,0.49,0.00394,0.49,0.679,1.54E-05,0.0383,-3.68,0.0309,167.046,4
Don't Cha,PCD,The Pussycat Dolls,2005-01-01,272080,70,0.875,0.00542,0.875,0.631,2.54E-06,0.127,-3.475,0.099,120.003,4
Bad Day,Daniel Powter,Daniel Powter,2005-02-22,233640,74,0.599,0.448,0.599,0.785,0.00336,0.151,-4.013,0.0309,140.046,4
Pon de Replay,Music Of The Sun,Rihanna,2005-08-29,246960,77,0.779,0.000155,0.779,0.64,0.00077,0.101,-8.415,0.159,99.019,4
Since U Been Gone,Breakaway,Kelly Clarkson,2004,188960,68,0.662,0.00206,0.662,0.739,0.0603,0.113,-5.354,0.0322,130.999,4
My Boo,Confessions (Expanded Edition),Usher,2004-03-23,223440,78,0.662,0.257,0.662,0.507,0,0.0465,-8.238,0.118,86.412,4
"1, 2 Step (feat. Missy Elliott) - Main",Goodies,Ciara,2005-01-22,202213,52,0.939,0.0444,0.939,0.498,0.00128,0.0475,-10.94,0.161,113.053,4
Girl,Destiny Fulfilled,Destiny's Child,2004,224146,54,0.567,0.31,0.567,0.747,0,0.04,-6.019,0.105,89.036,4
Run It! (feat. Juelz Santana),Chris Brown (Expanded Edition),Chris Brown,2005,229866,69,0.846,0.0246,0.846,0.482,0,0.393,-6.721,0.129,100.969,4
Stickwitu,PCD,The Pussycat Dolls,2005-01-01,207506,68,0.548,0.283,0.548,0.554,0,0.0708,-6.408,0.0587,79.918,4
One Wish,Raydiation,Ray J,2005-09-05,337640,66,0.525,0.278,0.525,0.652,0,0.339,-7.042,0.28,127.673,4
Get Right,Rebirth,Jennifer Lopez,2005,225533,64,0.741,0.0218,0.741,0.759,0,0.628,-5.096,0.12,97.084,4
Push The Button,Taller In More Ways,Sugababes,2005,218093,63,0.962,0.0485,0.962,0.66,0,0.076,-5.096,0.061,126.016,4
Because of You,Breakaway,Kelly Clarkson,2004,219493,72,0.587,0.248,0.587,0.583,0,0.124,-5.284,0.0313,139.92,4
Rich Girl,Love Angel Music Baby,Gwen Stefani,2004-11-22,236213,65,0.856,0.0294,0.856,0.754,1.49E-05,0.206,-2.728,0.0416,98.018,4
It's Like That,The Emancipation of Mimi,Mariah Carey,2005-01-01,203360,54,0.8,0.0901,0.8,0.633,0,0.0315,-4.875,0.0514,95.953,4
Cater 2 U,Destiny Fulfilled,Destiny's Child,2004,245400,58,0.605,0.286,0.605,0.584,0,0.235,-7.043,0.197,125.802,4
All About You,Wonderland,McFly,2005-01-01,186866,59,0.542,0.197,0.542,0.559,0,0.0989,-5.313,0.0258,129.898,4
My Humps,Monkey Business,Black Eyed Peas,2005-01-01,326960,66,0.802,0.111,0.802,0.682,1.39E-05,0.109,-5.924,0.222,123.95,4
Caught Up,Confessions (Expanded Edition),Usher,2004-03-23,224640,60,0.817,0.027,0.817,0.806,9.00E-06,0.119,-4.606,0.0623,110.086,4
Don't Love You No More (I'm Sorry),The Story Goes...,Craig David,2005-09-06,243986,56,0.636,0.462,0.636,0.558,0,0.062,-7.076,0.0245,100.113,4
That's My Goal,Shayne Ward,Shayne Ward,2006,219600,47,0.286,0.372,0.286,0.508,0,0.27,-5.966,0.0336,68.637,4
Hollaback Girl,Love Angel Music Baby,Gwen Stefani,2004-11-22,199853,69,0.926,0.35,0.926,0.916,6.17E-06,0.0234,-2.221,0.0929,110.007,4
Breakaway,Breakaway,Kelly Clarkson,2004,237000,60,0.268,0.0421,0.268,0.716,9.88E-06,0.108,-4.151,0.0337,160.008,3
Don't Forget About Us - Radio Edit,The Emancipation of Mimi,Mariah Carey,2005-01-01,233866,51,0.7,0.0422,0.7,0.529,0,0.101,-6.816,0.0395,143.555,4
Soldier (feat. T.I. & Lil' Wayne),Destiny Fulfilled,Destiny's Child,2004-11-16,325573,63,0.878,0.0444,0.878,0.417,0,0.0833,-6.799,0.361,77.49,4
Like You (feat. Ciara),Wanted,Bow Wow,2005,205840,64,0.714,0.0465,0.714,0.6,0,0.0646,-8.365,0.0876,82.017,4
TRUE,Take It All Away (U.S. Version),Ryan Cabrera,2004-06-08,204173,63,0.598,0.459,0.598,0.4,0,0.151,-10.054,0.0241,96.938,4
Lonely,Trouble,Akon,2004-01-01,235800,66,0.629,0.331,0.629,0.532,0,0.238,-7.88,0.0352,90.098,4
Dirty Little Secret,Move Along,The All-American Rejects,2005-01-01,193653,64,0.469,0.000343,0.469,0.955,1.35E-06,0.548,-4.253,0.0432,143.853,4
Just A Lil Bit,The Massacre,50 Cent,2005-03-03,237706,74,0.489,0.0322,0.489,0.692,0.00608,0.315,-6.672,0.41,96.946,4
Lose Control (feat. Ciara & Fat Man Scoop),The Cookbook,Missy Elliott,2005-07-04,226863,65,0.904,0.0311,0.904,0.813,0.00697,0.0471,-7.105,0.121,125.461,4
Behind These Hazel Eyes,Breakaway,Kelly Clarkson,2004-01-17,198973,59,0.548,0.00165,0.548,0.889,0.00109,0.197,-4.682,0.0382,90.048,4
Over And Over,Suit,Nelly,2004-09-14,253933,60,0.644,0.0065,0.644,0.517,1.37E-06,0.158,-10.02,0.0803,169.799,4
Just the Girl,Greetings From Imrie House (U.S. Version),The Click Five,2005-08-08,234146,60,0.571,0.00509,0.571,0.89,0,0.0769,-1.6,0.0395,110.958,4
I'm Sprung,Rappa Ternt Sanga,T-Pain,2005,231040,65,0.722,0.088,0.722,0.329,0,0.081,-11.617,0.108,99.991,4
Signs,Signs,Snoop Dogg,2004-01-01,236813,53,0.94,0.0319,0.94,0.713,0.00076,0.325,-5.308,0.127,112.955,4
Hung Up,Confessions on a Dance Floor,Madonna,2005-11-11,337733,72,0.649,0.0039,0.649,0.647,0.161,0.0686,-7.695,0.0452,125.02,4
"Sugar, We're Goin Down",From Under The Cork Tree,Fall Out Boy,2005-05-03,229093,77,0.494,0.00579,0.494,0.842,0,0.122,-4.784,0.0843,162.011,4
Home,It's Time,Michael Bublé,2005-02-08,225906,68,0.608,0.844,0.608,0.37,1.87E-05,0.112,-9.207,0.0306,127.631,4
Don't Lie,Monkey Business,Black Eyed Peas,2005-01-01,219000,61,0.662,0.16,0.662,0.785,0,0.0784,-5.299,0.186,89.885,4
Switch,Spinning music 2020,Various Artists,2020-06-12,197666,34,0.873,0.0107,0.873,0.9,0.000502,0.556,-4.325,0.18,102.516,4
You And Me,Lifehouse,Lifehouse,2005-03-22,195493,75,0.459,0.114,0.459,0.427,0,0.168,-7.734,0.0267,139.902,3
Let Me Hold You (feat. Omarion),Wanted,Bow Wow,2005,248493,61,0.815,0.0915,0.815,0.662,0.000409,0.0898,-8.244,0.199,151.518,4
Disco Inferno,The Massacre,50 Cent,2005-03-03,214226,68,0.925,0.206,0.925,0.659,7.88E-05,0.279,-4.763,0.231,97.018,4
Lovers And Friends,Crunk Juice,Lil Jon & The East Side Boyz,2004-11-16,260600,64,0.675,0.0541,0.675,0.501,0,0.429,-6.183,0.22,139.861,4
Don't Phunk With My Heart,Monkey Business,Black Eyed Peas,2005-01-01,239773,60,0.69,0.00937,0.69,0.928,0,0.547,-2.76,0.061,130.889,4
Suddenly I See,Eye To The Telescope,KT Tunstall,2005-01-01,201706,68,0.587,0.225,0.587,0.767,0,0.112,-5.713,0.0449,100.38,4
You Raise Me Up,Face To Face,Westlife,2005,241066,54,0.129,0.631,0.129,0.358,0,0.0886,-6.596,0.0314,75.048,5
Grind With Me,Bluestars,Pretty Ricky,2005-05-17,237733,63,0.7,0.000204,0.7,0.538,0,0.105,-5.952,0.045,136.518,4
Ordinary People,Get Lifted,John Legend,2005-12-06,281466,66,0.469,0.928,0.469,0.132,0,0.0873,-14.001,0.0798,66.989,3
Laffy Taffy,Down For Life,D4L,2005-11-08,224253,63,0.891,0.0351,0.891,0.439,0,0.0932,-7.994,0.428,77.499,4
1 Thing,Playlist: The Very Best Of Amerie,Amerie,2008,238746,53,0.636,0.115,0.636,0.946,3.75E-05,0.0416,-4.683,0.332,125.085,5
Almost Here,Irish Son,Brian McFadden,2004-11-23,229826,40,0.561,0.409,0.561,0.452,0,0.106,-7.324,0.0336,77.984,4
Drop It Like It's Hot,R&G (Rhythm & Gangsta): The Masterpiece,Snoop Dogg,2004-01-01,266066,68,0.892,0.169,0.892,0.628,0,0.102,-3.832,0.216,92.063,4
"Slow Down - 12"" Version",Disturbing Tha Peace Presents Bobby Valentino,Bobby V.,2005-01-01,258666,64,0.568,0.179,0.568,0.732,4.92E-06,0.401,-4.896,0.103,186.048,4
Cool,Love Angel Music Baby,Gwen Stefani,2004-11-22,189333,58,0.709,0.0322,0.709,0.721,0.000309,0.355,-3.52,0.0281,112.019,4
Photograph,All the Right Reasons,Nickelback,2005-09-26,258920,67,0.515,0.000932,0.515,0.876,0.000166,0.136,-3.756,0.0292,145.916,4
Your Body,Bluestars,Pretty Ricky,2005-05-17,240040,57,0.838,0.176,0.838,0.594,0,0.0867,-5.695,0.113,90.038,4
We Be Burnin',The Trinity,Sean Paul,2005-09-26,213066,57,0.95,0.145,0.95,0.803,0,0.0748,-4.195,0.151,117,4
Oh (feat. Ludacris),Goodies,Ciara,2004-09-27,256346,61,0.8,0.000298,0.8,0.496,0,0.0697,-7.135,0.0506,128.29,4
Mockingbird,Encore (Deluxe Version),Eminem,2004-11-12,250760,74,0.637,0.209,0.637,0.678,0,0.156,-3.798,0.266,84.039,4
Collide,Stop All The World Now,Howie Day,2003,249120,52,0.636,0.222,0.636,0.625,5.35E-05,0.119,-7.895,0.0277,93.931,4
Fix You,X&Y,Coldplay,2005-06-07,295533,80,0.209,0.164,0.209,0.417,0.00196,0.113,-8.74,0.0338,138.178,4
"Baby, I'm Back",Trouble Deluxe Edition,Akon,2005-01-01,219920,44,0.899,0.0508,0.899,0.365,0,0.097,-5.461,0.105,100.01,4
Better Together,In Between Dreams,Jack Johnson,2005-01-01,207680,74,0.871,0.298,0.871,0.346,9.24E-06,0.108,-9.481,0.0522,110.054,4
La Tortura (feat. Alejandro Sanz),"Fijación Oral, Vol. 1",Shakira,2005-06-03,212893,71,0.74,0.0297,0.74,0.783,0.000308,0.123,-5.367,0.0427,100.011,4
